dataset,modo,threads,schedule,chunk,rep,iters,sse_final,time_ms,median_ms
m,omp,8,static,256,4,3,33447.299806,1.800,NA
m,omp,8,static,256,5,3,33447.299806,2.513,NA
m,omp,8,static,256,0,NA,NA,NA,1.800
m,omp,16,static,256,1,3,33447.299806,45.751,NA
m,omp,16,static,256,2,3,33447.299806,45.508,NA
m,omp,16,static,256,3,3,33447.299806,47.156,NA
m,omp,16,static,256,4,3,33447.299806,1.903,NA
m,omp,16,static,256,5,3,33447.299806,45.048,NA
m,omp,16,static,256,0,NA,NA,NA,45.508
m,omp,1,static,1024,1,3,33447.299806,1.906,NA
m,omp,1,static,1024,2,3,33447.299806,1.897,NA
m,omp,1,static,1024,3,3,33447.299806,1.900,NA
m,omp,1,static,1024,4,3,33447.299806,1.831,NA
m,omp,1,static,1024,5,3,33447.299806,1.926,NA
m,omp,1,static,1024,0,NA,NA,NA,1.900
m,omp,2,static,1024,1,3,33447.299806,2.506,NA
m,omp,2,static,1024,2,3,33447.299806,2.883,NA
m,omp,2,static,1024,3,3,33447.299806,1.787,NA
m,omp,2,static,1024,4,3,33447.299806,2.668,NA
m,omp,2,static,1024,5,3,33447.299806,1.933,NA
m,omp,2,static,1024,0,NA,NA,NA,2.506
m,omp,4,static,1024,1,3,33447.299806,2.256,NA
m,omp,4,static,1024,2,3,33447.299806,2.217,NA
m,omp,4,static,1024,3,3,33447.299806,2.186,NA
m,omp,4,static,1024,4,3,33447.299806,2.243,NA
m,omp,4,static,1024,5,3,33447.299806,2.046,NA
m,omp,4,static,1024,0,NA,NA,NA,2.217
m,omp,8,static,1024,1,3,33447.299806,1.672,NA
m,omp,8,static,1024,2,3,33447.299806,1.871,NA
m,omp,8,static,1024,3,3,33447.299806,1.688,NA
m,omp,8,static,1024,4,3,33447.299806,1.777,NA
m,omp,8,static,1024,5,3,33447.299806,1.736,NA
m,omp,8,static,1024,0,NA,NA,NA,1.736
m,omp,16,static,1024,1,3,33447.299806,39.568,NA
